[04/05 20:14:58]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04052000', seed=17, weight_decay=0.0001)
[04/05 20:15:23]: epoch: 1, train_loss: 3.521605, train_accuracy: 0.1640
[04/05 20:15:24]: Epoch Test: 1, Current test accuracy: 0.2057, Best test accuracy in 1: 0.2057
[04/05 20:15:48]: epoch: 2, train_loss: 3.081391, train_accuracy: 0.2465
[04/05 20:15:49]: Epoch Test: 2, Current test accuracy: 0.3129, Best test accuracy in 2: 0.3129
[04/05 20:16:12]: epoch: 3, train_loss: 2.837228, train_accuracy: 0.3290
[04/05 20:16:14]: Epoch Test: 3, Current test accuracy: 0.3583, Best test accuracy in 3: 0.3583
[04/05 20:16:37]: epoch: 4, train_loss: 2.607945, train_accuracy: 0.3882
[04/05 20:16:38]: Epoch Test: 4, Current test accuracy: 0.3763, Best test accuracy in 4: 0.3763
[04/05 20:17:01]: epoch: 5, train_loss: 2.396902, train_accuracy: 0.4424
[04/05 20:17:02]: Epoch Test: 5, Current test accuracy: 0.4540, Best test accuracy in 5: 0.4540
[04/05 20:17:25]: epoch: 6, train_loss: 2.174725, train_accuracy: 0.5057
[04/05 20:17:27]: Epoch Test: 6, Current test accuracy: 0.4711, Best test accuracy in 6: 0.4711
[04/05 20:17:50]: epoch: 7, train_loss: 1.991253, train_accuracy: 0.5596
[04/05 20:17:51]: Epoch Test: 7, Current test accuracy: 0.5373, Best test accuracy in 7: 0.5373
[04/05 20:18:15]: epoch: 8, train_loss: 1.815220, train_accuracy: 0.6060
[04/05 20:18:16]: Epoch Test: 8, Current test accuracy: 0.5761, Best test accuracy in 8: 0.5761
[04/05 20:18:40]: epoch: 9, train_loss: 1.640615, train_accuracy: 0.6468
[04/05 20:18:41]: Epoch Test: 9, Current test accuracy: 0.6253, Best test accuracy in 9: 0.6253
[04/05 20:19:04]: epoch: 10, train_loss: 1.509662, train_accuracy: 0.6772
[04/05 20:19:05]: Epoch Test: 10, Current test accuracy: 0.6805, Best test accuracy in 10: 0.6805
[04/05 20:19:29]: epoch: 11, train_loss: 1.396309, train_accuracy: 0.7044
[04/05 20:19:30]: Epoch Test: 11, Current test accuracy: 0.6627, Best test accuracy in 10: 0.6805
[04/05 20:19:53]: epoch: 12, train_loss: 1.289067, train_accuracy: 0.7259
[04/05 20:19:55]: Epoch Test: 12, Current test accuracy: 0.6588, Best test accuracy in 10: 0.6805
[04/05 20:20:18]: epoch: 13, train_loss: 1.220523, train_accuracy: 0.7434
[04/05 20:20:20]: Epoch Test: 13, Current test accuracy: 0.7271, Best test accuracy in 13: 0.7271
[04/05 20:20:43]: epoch: 14, train_loss: 1.151939, train_accuracy: 0.7583
[04/05 20:20:44]: Epoch Test: 14, Current test accuracy: 0.7001, Best test accuracy in 13: 0.7271
[04/05 20:21:07]: epoch: 15, train_loss: 1.083792, train_accuracy: 0.7745
[04/05 20:21:08]: Epoch Test: 15, Current test accuracy: 0.6883, Best test accuracy in 13: 0.7271
[04/05 20:21:32]: epoch: 16, train_loss: 1.027219, train_accuracy: 0.7848
[04/05 20:21:33]: Epoch Test: 16, Current test accuracy: 0.7097, Best test accuracy in 13: 0.7271
[04/05 20:21:56]: epoch: 17, train_loss: 0.999873, train_accuracy: 0.7933
[04/05 20:21:57]: Epoch Test: 17, Current test accuracy: 0.7570, Best test accuracy in 17: 0.7570
[04/05 20:22:20]: epoch: 18, train_loss: 0.948684, train_accuracy: 0.8037
[04/05 20:22:22]: Epoch Test: 18, Current test accuracy: 0.7891, Best test accuracy in 18: 0.7891
[04/05 20:22:45]: epoch: 19, train_loss: 0.907322, train_accuracy: 0.8134
[04/05 20:22:46]: Epoch Test: 19, Current test accuracy: 0.7843, Best test accuracy in 18: 0.7891
[04/05 20:23:10]: epoch: 20, train_loss: 0.888769, train_accuracy: 0.8172
[04/05 20:23:11]: Epoch Test: 20, Current test accuracy: 0.7873, Best test accuracy in 18: 0.7891
[04/05 20:23:34]: epoch: 21, train_loss: 0.861152, train_accuracy: 0.8219
[04/05 20:23:36]: Epoch Test: 21, Current test accuracy: 0.7848, Best test accuracy in 18: 0.7891
[04/05 20:23:59]: epoch: 22, train_loss: 0.823397, train_accuracy: 0.8317
[04/05 20:24:00]: Epoch Test: 22, Current test accuracy: 0.8077, Best test accuracy in 22: 0.8077
[04/05 20:24:23]: epoch: 23, train_loss: 0.809581, train_accuracy: 0.8332
[04/05 20:24:25]: Epoch Test: 23, Current test accuracy: 0.7833, Best test accuracy in 22: 0.8077
[04/05 20:24:48]: epoch: 24, train_loss: 0.780078, train_accuracy: 0.8405
[04/05 20:24:49]: Epoch Test: 24, Current test accuracy: 0.8007, Best test accuracy in 22: 0.8077
[04/05 20:25:12]: epoch: 25, train_loss: 0.752006, train_accuracy: 0.8449
[04/05 20:25:13]: Epoch Test: 25, Current test accuracy: 0.8048, Best test accuracy in 22: 0.8077
