[04/06 06:51:25]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+Adam', seed=17, weight_decay=0.0001)
[04/06 06:51:35]: epoch: 1, train_loss: 3.299285, train_accuracy: 0.2224
[04/06 06:51:36]: Epoch Test: 1, Current test accuracy: 0.2165, Best test accuracy in 1: 0.2165
[04/06 06:51:44]: epoch: 2, train_loss: 2.848814, train_accuracy: 0.3409
[04/06 06:51:45]: Epoch Test: 2, Current test accuracy: 0.3723, Best test accuracy in 2: 0.3723
[04/06 06:51:53]: epoch: 3, train_loss: 2.561442, train_accuracy: 0.4154
[04/06 06:51:53]: Epoch Test: 3, Current test accuracy: 0.3766, Best test accuracy in 3: 0.3766
[04/06 06:52:02]: epoch: 4, train_loss: 2.264866, train_accuracy: 0.4928
[04/06 06:52:02]: Epoch Test: 4, Current test accuracy: 0.4559, Best test accuracy in 4: 0.4559
[04/06 06:52:10]: epoch: 5, train_loss: 1.990952, train_accuracy: 0.5599
[04/06 06:52:11]: Epoch Test: 5, Current test accuracy: 0.5382, Best test accuracy in 5: 0.5382
[04/06 06:52:19]: epoch: 6, train_loss: 1.785570, train_accuracy: 0.6081
[04/06 06:52:20]: Epoch Test: 6, Current test accuracy: 0.6270, Best test accuracy in 6: 0.6270
[04/06 06:52:28]: epoch: 7, train_loss: 1.650858, train_accuracy: 0.6410
[04/06 06:52:29]: Epoch Test: 7, Current test accuracy: 0.6162, Best test accuracy in 6: 0.6270
[04/06 06:52:37]: epoch: 8, train_loss: 1.531741, train_accuracy: 0.6699
[04/06 06:52:37]: Epoch Test: 8, Current test accuracy: 0.6607, Best test accuracy in 8: 0.6607
[04/06 06:52:46]: epoch: 9, train_loss: 1.454777, train_accuracy: 0.6886
[04/06 06:52:46]: Epoch Test: 9, Current test accuracy: 0.6977, Best test accuracy in 9: 0.6977
[04/06 06:52:54]: epoch: 10, train_loss: 1.378360, train_accuracy: 0.7051
[04/06 06:52:55]: Epoch Test: 10, Current test accuracy: 0.7066, Best test accuracy in 10: 0.7066
[04/06 06:53:03]: epoch: 11, train_loss: 1.314464, train_accuracy: 0.7203
[04/06 06:53:04]: Epoch Test: 11, Current test accuracy: 0.6989, Best test accuracy in 10: 0.7066
[04/06 06:53:12]: epoch: 12, train_loss: 1.270628, train_accuracy: 0.7286
[04/06 06:53:12]: Epoch Test: 12, Current test accuracy: 0.6961, Best test accuracy in 10: 0.7066
[04/06 06:53:21]: epoch: 13, train_loss: 1.225234, train_accuracy: 0.7387
[04/06 06:53:21]: Epoch Test: 13, Current test accuracy: 0.7116, Best test accuracy in 13: 0.7116
[04/06 06:53:29]: epoch: 14, train_loss: 1.189043, train_accuracy: 0.7460
[04/06 06:53:30]: Epoch Test: 14, Current test accuracy: 0.7377, Best test accuracy in 14: 0.7377
[04/06 06:53:38]: epoch: 15, train_loss: 1.152520, train_accuracy: 0.7549
[04/06 06:53:39]: Epoch Test: 15, Current test accuracy: 0.7066, Best test accuracy in 14: 0.7377
[04/06 06:53:47]: epoch: 16, train_loss: 1.119821, train_accuracy: 0.7635
