[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:23:07]: epoch: 1, train_loss: 1.829605, train_accuracy: 0.3195
[04/06 15:23:08]: Epoch Test: 1, Current test accuracy: 0.4500, Best test accuracy in 1: 0.4500
[04/06 15:23:15]: epoch: 2, train_loss: 1.233215, train_accuracy: 0.5522
[04/06 15:23:16]: Epoch Test: 2, Current test accuracy: 0.5835, Best test accuracy in 2: 0.5835
[04/06 15:23:24]: epoch: 3, train_loss: 0.939770, train_accuracy: 0.6674
[04/06 15:23:24]: Epoch Test: 3, Current test accuracy: 0.6618, Best test accuracy in 3: 0.6618
[04/06 15:23:32]: epoch: 4, train_loss: 0.761158, train_accuracy: 0.7353
[04/06 15:23:33]: Epoch Test: 4, Current test accuracy: 0.7453, Best test accuracy in 4: 0.7453
[04/06 15:23:41]: epoch: 5, train_loss: 0.665804, train_accuracy: 0.7674
[04/06 15:23:41]: Epoch Test: 5, Current test accuracy: 0.6871, Best test accuracy in 4: 0.7453
[04/06 15:23:49]: epoch: 6, train_loss: 0.598120, train_accuracy: 0.7916
[04/06 15:23:50]: Epoch Test: 6, Current test accuracy: 0.7583, Best test accuracy in 6: 0.7583
[04/06 15:23:58]: epoch: 7, train_loss: 0.553345, train_accuracy: 0.8085
[04/06 15:23:58]: Epoch Test: 7, Current test accuracy: 0.7923, Best test accuracy in 7: 0.7923
[04/06 15:24:06]: epoch: 8, train_loss: 0.514974, train_accuracy: 0.8234
[04/06 15:24:07]: Epoch Test: 8, Current test accuracy: 0.7833, Best test accuracy in 7: 0.7923
[04/06 15:24:14]: epoch: 9, train_loss: 0.486003, train_accuracy: 0.8317
[04/06 15:24:15]: Epoch Test: 9, Current test accuracy: 0.8126, Best test accuracy in 9: 0.8126
[04/06 15:24:23]: epoch: 10, train_loss: 0.459037, train_accuracy: 0.8416
[04/06 15:24:24]: Epoch Test: 10, Current test accuracy: 0.8229, Best test accuracy in 10: 0.8229
[04/06 15:24:31]: epoch: 11, train_loss: 0.434029, train_accuracy: 0.8496
[04/06 15:24:32]: Epoch Test: 11, Current test accuracy: 0.8109, Best test accuracy in 10: 0.8229
[04/06 15:24:40]: epoch: 12, train_loss: 0.419133, train_accuracy: 0.8539
[04/06 15:24:40]: Epoch Test: 12, Current test accuracy: 0.8389, Best test accuracy in 12: 0.8389
[04/06 15:24:48]: epoch: 13, train_loss: 0.399317, train_accuracy: 0.8619
[04/06 15:24:49]: Epoch Test: 13, Current test accuracy: 0.8253, Best test accuracy in 12: 0.8389
[04/06 15:24:57]: epoch: 14, train_loss: 0.384899, train_accuracy: 0.8662
[04/06 15:24:57]: Epoch Test: 14, Current test accuracy: 0.8421, Best test accuracy in 14: 0.8421
[04/06 15:25:05]: epoch: 15, train_loss: 0.372935, train_accuracy: 0.8721
[04/06 15:25:06]: Epoch Test: 15, Current test accuracy: 0.8262, Best test accuracy in 14: 0.8421
[04/06 15:25:14]: epoch: 16, train_loss: 0.363334, train_accuracy: 0.8748
[04/06 15:25:14]: Epoch Test: 16, Current test accuracy: 0.8477, Best test accuracy in 16: 0.8477
[04/06 15:25:22]: epoch: 17, train_loss: 0.349589, train_accuracy: 0.8800
[04/06 15:25:23]: Epoch Test: 17, Current test accuracy: 0.8303, Best test accuracy in 16: 0.8477
[04/06 15:25:31]: epoch: 18, train_loss: 0.342916, train_accuracy: 0.8807
[04/06 15:25:32]: Epoch Test: 18, Current test accuracy: 0.8438, Best test accuracy in 16: 0.8477
[04/06 15:25:40]: epoch: 19, train_loss: 0.335476, train_accuracy: 0.8833
[04/06 15:25:41]: Epoch Test: 19, Current test accuracy: 0.8544, Best test accuracy in 19: 0.8544
[04/06 15:25:49]: epoch: 20, train_loss: 0.328012, train_accuracy: 0.8857
[04/06 15:25:50]: Epoch Test: 20, Current test accuracy: 0.8507, Best test accuracy in 19: 0.8544
[04/06 15:25:58]: epoch: 21, train_loss: 0.319378, train_accuracy: 0.8900
[04/06 15:25:59]: Epoch Test: 21, Current test accuracy: 0.8531, Best test accuracy in 19: 0.8544
[04/06 15:26:07]: epoch: 22, train_loss: 0.311659, train_accuracy: 0.8914
[04/06 15:26:07]: Epoch Test: 22, Current test accuracy: 0.8342, Best test accuracy in 19: 0.8544
[04/06 15:26:15]: epoch: 23, train_loss: 0.300375, train_accuracy: 0.8961
[04/06 15:26:16]: Epoch Test: 23, Current test accuracy: 0.8440, Best test accuracy in 19: 0.8544
[04/06 15:26:24]: epoch: 24, train_loss: 0.302322, train_accuracy: 0.8945
[04/06 15:26:25]: Epoch Test: 24, Current test accuracy: 0.8515, Best test accuracy in 19: 0.8544
[04/06 15:26:33]: epoch: 25, train_loss: 0.291247, train_accuracy: 0.8978
[04/06 15:26:34]: Epoch Test: 25, Current test accuracy: 0.8555, Best test accuracy in 25: 0.8555
[04/06 15:26:42]: epoch: 26, train_loss: 0.287701, train_accuracy: 0.8993
[04/06 15:26:42]: Epoch Test: 26, Current test accuracy: 0.8384, Best test accuracy in 25: 0.8555
[04/06 15:26:50]: epoch: 27, train_loss: 0.279868, train_accuracy: 0.9022
[04/06 15:26:51]: Epoch Test: 27, Current test accuracy: 0.8329, Best test accuracy in 25: 0.8555
[04/06 15:26:59]: epoch: 28, train_loss: 0.276908, train_accuracy: 0.9035
[04/06 15:27:00]: Epoch Test: 28, Current test accuracy: 0.8548, Best test accuracy in 25: 0.8555
[04/06 15:27:07]: epoch: 29, train_loss: 0.275500, train_accuracy: 0.9034
[04/06 15:27:08]: Epoch Test: 29, Current test accuracy: 0.8384, Best test accuracy in 25: 0.8555
[04/06 15:27:16]: epoch: 30, train_loss: 0.270503, train_accuracy: 0.9048
[04/06 15:27:16]: Epoch Test: 30, Current test accuracy: 0.8579, Best test accuracy in 30: 0.8579
