[04/06 08:37:27]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+C+Adam', seed=17, weight_decay=0.0001)
[04/06 08:37:41]: epoch: 1, train_loss: 2.260703, train_accuracy: 0.1418
[04/06 08:37:41]: Epoch Test: 1, Current test accuracy: 0.2132, Best test accuracy in 1: 0.2132
[04/06 08:37:53]: epoch: 2, train_loss: 1.862334, train_accuracy: 0.2812
[04/06 08:37:54]: Epoch Test: 2, Current test accuracy: 0.2356, Best test accuracy in 2: 0.2356
[04/06 08:38:05]: epoch: 3, train_loss: 1.686991, train_accuracy: 0.3563
[04/06 08:38:06]: Epoch Test: 3, Current test accuracy: 0.3763, Best test accuracy in 3: 0.3763
[04/06 08:38:17]: epoch: 4, train_loss: 1.570765, train_accuracy: 0.4103
[04/06 08:38:18]: Epoch Test: 4, Current test accuracy: 0.4264, Best test accuracy in 4: 0.4264
[04/06 08:38:29]: epoch: 5, train_loss: 1.494448, train_accuracy: 0.4445
[04/06 08:38:30]: Epoch Test: 5, Current test accuracy: 0.4187, Best test accuracy in 4: 0.4264
[04/06 08:38:42]: epoch: 6, train_loss: 1.408240, train_accuracy: 0.4805
[04/06 08:38:42]: Epoch Test: 6, Current test accuracy: 0.5206, Best test accuracy in 6: 0.5206
[04/06 08:38:54]: epoch: 7, train_loss: 1.293165, train_accuracy: 0.5283
[04/06 08:38:55]: Epoch Test: 7, Current test accuracy: 0.5003, Best test accuracy in 6: 0.5206
[04/06 08:39:06]: epoch: 8, train_loss: 1.178828, train_accuracy: 0.5740
[04/06 08:39:07]: Epoch Test: 8, Current test accuracy: 0.5962, Best test accuracy in 8: 0.5962
[04/06 08:39:18]: epoch: 9, train_loss: 1.103564, train_accuracy: 0.6044
[04/06 08:39:19]: Epoch Test: 9, Current test accuracy: 0.5879, Best test accuracy in 8: 0.5962
[04/06 08:39:30]: epoch: 10, train_loss: 1.040504, train_accuracy: 0.6281
[04/06 08:39:31]: Epoch Test: 10, Current test accuracy: 0.6096, Best test accuracy in 10: 0.6096
[04/06 08:39:43]: epoch: 11, train_loss: 0.989716, train_accuracy: 0.6497
[04/06 08:39:43]: Epoch Test: 11, Current test accuracy: 0.5292, Best test accuracy in 10: 0.6096
[04/06 08:39:55]: epoch: 12, train_loss: 0.941205, train_accuracy: 0.6670
[04/06 08:39:55]: Epoch Test: 12, Current test accuracy: 0.6438, Best test accuracy in 12: 0.6438
[04/06 08:40:07]: epoch: 13, train_loss: 0.903570, train_accuracy: 0.6808
[04/06 08:40:08]: Epoch Test: 13, Current test accuracy: 0.6369, Best test accuracy in 12: 0.6438
[04/06 08:40:19]: epoch: 14, train_loss: 0.860556, train_accuracy: 0.6975
[04/06 08:40:20]: Epoch Test: 14, Current test accuracy: 0.6721, Best test accuracy in 14: 0.6721
[04/06 08:40:31]: epoch: 15, train_loss: 0.829376, train_accuracy: 0.7107
[04/06 08:40:32]: Epoch Test: 15, Current test accuracy: 0.7107, Best test accuracy in 15: 0.7107
[04/06 08:40:43]: epoch: 16, train_loss: 0.800618, train_accuracy: 0.7214
[04/06 08:40:44]: Epoch Test: 16, Current test accuracy: 0.7223, Best test accuracy in 16: 0.7223
[04/06 08:40:56]: epoch: 17, train_loss: 0.772904, train_accuracy: 0.7303
[04/06 08:40:56]: Epoch Test: 17, Current test accuracy: 0.7034, Best test accuracy in 16: 0.7223
[04/06 08:41:08]: epoch: 18, train_loss: 0.744515, train_accuracy: 0.7421
[04/06 08:41:08]: Epoch Test: 18, Current test accuracy: 0.6763, Best test accuracy in 16: 0.7223
[04/06 08:41:20]: epoch: 19, train_loss: 0.722589, train_accuracy: 0.7511
[04/06 08:41:21]: Epoch Test: 19, Current test accuracy: 0.7365, Best test accuracy in 19: 0.7365
[04/06 08:41:32]: epoch: 20, train_loss: 0.698796, train_accuracy: 0.7605
