[04/06 00:10:14]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+CF+Adam', seed=17, weight_decay=0.0001)
[04/06 00:10:27]: epoch: 1, train_loss: 2.565913, train_accuracy: 0.2032
[04/06 00:10:28]: Epoch Test: 1, Current test accuracy: 0.2617, Best test accuracy in 1: 0.2617
[04/06 00:10:40]: epoch: 2, train_loss: 2.127298, train_accuracy: 0.3206
[04/06 00:10:40]: Epoch Test: 2, Current test accuracy: 0.3324, Best test accuracy in 2: 0.3324
[04/06 00:10:52]: epoch: 3, train_loss: 1.944223, train_accuracy: 0.3806
[04/06 00:10:53]: Epoch Test: 3, Current test accuracy: 0.3768, Best test accuracy in 3: 0.3768
[04/06 00:11:04]: epoch: 4, train_loss: 1.794045, train_accuracy: 0.4314
[04/06 00:11:05]: Epoch Test: 4, Current test accuracy: 0.4445, Best test accuracy in 4: 0.4445
[04/06 00:11:16]: epoch: 5, train_loss: 1.638243, train_accuracy: 0.4778
[04/06 00:11:17]: Epoch Test: 5, Current test accuracy: 0.4830, Best test accuracy in 5: 0.4830
[04/06 00:11:29]: epoch: 6, train_loss: 1.482771, train_accuracy: 0.5347
[04/06 00:11:29]: Epoch Test: 6, Current test accuracy: 0.5484, Best test accuracy in 6: 0.5484
[04/06 00:11:41]: epoch: 7, train_loss: 1.328419, train_accuracy: 0.5923
[04/06 00:11:42]: Epoch Test: 7, Current test accuracy: 0.5156, Best test accuracy in 6: 0.5484
[04/06 00:11:53]: epoch: 8, train_loss: 1.202478, train_accuracy: 0.6314
[04/06 00:11:54]: Epoch Test: 8, Current test accuracy: 0.6506, Best test accuracy in 8: 0.6506
[04/06 00:12:05]: epoch: 9, train_loss: 1.109096, train_accuracy: 0.6623
[04/06 00:12:06]: Epoch Test: 9, Current test accuracy: 0.6344, Best test accuracy in 8: 0.6506
[04/06 00:12:17]: epoch: 10, train_loss: 1.027103, train_accuracy: 0.6901
[04/06 00:12:18]: Epoch Test: 10, Current test accuracy: 0.6487, Best test accuracy in 8: 0.6506
[04/06 00:12:30]: epoch: 11, train_loss: 0.959867, train_accuracy: 0.7124
[04/06 00:12:30]: Epoch Test: 11, Current test accuracy: 0.6663, Best test accuracy in 11: 0.6663
[04/06 00:12:42]: epoch: 12, train_loss: 0.911948, train_accuracy: 0.7290
[04/06 00:12:42]: Epoch Test: 12, Current test accuracy: 0.7066, Best test accuracy in 12: 0.7066
[04/06 00:12:54]: epoch: 13, train_loss: 0.855278, train_accuracy: 0.7445
[04/06 00:12:55]: Epoch Test: 13, Current test accuracy: 0.7091, Best test accuracy in 13: 0.7091
[04/06 00:13:06]: epoch: 14, train_loss: 0.806339, train_accuracy: 0.7595
[04/06 00:13:07]: Epoch Test: 14, Current test accuracy: 0.7343, Best test accuracy in 14: 0.7343
[04/06 00:13:18]: epoch: 15, train_loss: 0.777855, train_accuracy: 0.7703
[04/06 00:13:19]: Epoch Test: 15, Current test accuracy: 0.7594, Best test accuracy in 15: 0.7594
[04/06 00:13:30]: epoch: 16, train_loss: 0.749217, train_accuracy: 0.7746
[04/06 00:13:31]: Epoch Test: 16, Current test accuracy: 0.7730, Best test accuracy in 16: 0.7730
[04/06 00:13:43]: epoch: 17, train_loss: 0.723404, train_accuracy: 0.7854
[04/06 00:13:43]: Epoch Test: 17, Current test accuracy: 0.7428, Best test accuracy in 16: 0.7730
[04/06 00:13:55]: epoch: 18, train_loss: 0.701453, train_accuracy: 0.7918
[04/06 00:13:56]: Epoch Test: 18, Current test accuracy: 0.7339, Best test accuracy in 16: 0.7730
[04/06 00:14:07]: epoch: 19, train_loss: 0.675630, train_accuracy: 0.7986
[04/06 00:14:08]: Epoch Test: 19, Current test accuracy: 0.7568, Best test accuracy in 16: 0.7730
[04/06 00:14:19]: epoch: 20, train_loss: 0.658969, train_accuracy: 0.8056
[04/06 00:14:20]: Epoch Test: 20, Current test accuracy: 0.7784, Best test accuracy in 20: 0.7784
[04/06 00:14:31]: epoch: 21, train_loss: 0.638369, train_accuracy: 0.8118
[04/06 00:14:32]: Epoch Test: 21, Current test accuracy: 0.7891, Best test accuracy in 21: 0.7891
[04/06 00:14:44]: epoch: 22, train_loss: 0.615674, train_accuracy: 0.8181
[04/06 00:14:44]: Epoch Test: 22, Current test accuracy: 0.7694, Best test accuracy in 21: 0.7891
[04/06 00:14:56]: epoch: 23, train_loss: 0.602978, train_accuracy: 0.8207
[04/06 00:14:57]: Epoch Test: 23, Current test accuracy: 0.8003, Best test accuracy in 23: 0.8003
[04/06 00:15:08]: epoch: 24, train_loss: 0.591384, train_accuracy: 0.8239
[04/06 00:15:09]: Epoch Test: 24, Current test accuracy: 0.7898, Best test accuracy in 23: 0.8003
[04/06 00:15:20]: epoch: 25, train_loss: 0.572112, train_accuracy: 0.8303
[04/06 00:15:21]: Epoch Test: 25, Current test accuracy: 0.8093, Best test accuracy in 25: 0.8093
[04/06 00:15:32]: epoch: 26, train_loss: 0.566008, train_accuracy: 0.8321
[04/06 00:15:33]: Epoch Test: 26, Current test accuracy: 0.7914, Best test accuracy in 25: 0.8093
[04/06 00:15:45]: epoch: 27, train_loss: 0.547222, train_accuracy: 0.8376
[04/06 00:15:45]: Epoch Test: 27, Current test accuracy: 0.8138, Best test accuracy in 27: 0.8138
[04/06 00:15:57]: epoch: 28, train_loss: 0.535884, train_accuracy: 0.8407
[04/06 00:15:58]: Epoch Test: 28, Current test accuracy: 0.8241, Best test accuracy in 28: 0.8241
[04/06 00:16:09]: epoch: 29, train_loss: 0.518442, train_accuracy: 0.8463
[04/06 00:16:10]: Epoch Test: 29, Current test accuracy: 0.8227, Best test accuracy in 28: 0.8241
[04/06 00:16:21]: epoch: 30, train_loss: 0.516253, train_accuracy: 0.8472
[04/06 00:16:22]: Epoch Test: 30, Current test accuracy: 0.8104, Best test accuracy in 28: 0.8241
[04/06 00:16:33]: epoch: 31, train_loss: 0.507134, train_accuracy: 0.8512
[04/06 00:16:34]: Epoch Test: 31, Current test accuracy: 0.8284, Best test accuracy in 31: 0.8284
[04/06 00:16:46]: epoch: 32, train_loss: 0.490496, train_accuracy: 0.8556
[04/06 00:16:46]: Epoch Test: 32, Current test accuracy: 0.8283, Best test accuracy in 31: 0.8284
[04/06 00:16:58]: epoch: 33, train_loss: 0.486095, train_accuracy: 0.8569
[04/06 00:16:58]: Epoch Test: 33, Current test accuracy: 0.8294, Best test accuracy in 33: 0.8294
[04/06 00:17:10]: epoch: 34, train_loss: 0.464872, train_accuracy: 0.8611
[04/06 00:17:11]: Epoch Test: 34, Current test accuracy: 0.8058, Best test accuracy in 33: 0.8294
[04/06 00:17:22]: epoch: 35, train_loss: 0.459895, train_accuracy: 0.8661
[04/06 00:17:23]: Epoch Test: 35, Current test accuracy: 0.8168, Best test accuracy in 33: 0.8294
[04/06 00:17:34]: epoch: 36, train_loss: 0.455694, train_accuracy: 0.8645
[04/06 00:17:35]: Epoch Test: 36, Current test accuracy: 0.8074, Best test accuracy in 33: 0.8294
[04/06 00:17:46]: epoch: 37, train_loss: 0.448128, train_accuracy: 0.8656
[04/06 00:17:47]: Epoch Test: 37, Current test accuracy: 0.8435, Best test accuracy in 37: 0.8435
[04/06 00:17:59]: epoch: 38, train_loss: 0.440725, train_accuracy: 0.8702
[04/06 00:17:59]: Epoch Test: 38, Current test accuracy: 0.8212, Best test accuracy in 37: 0.8435
[04/06 00:18:11]: epoch: 39, train_loss: 0.427090, train_accuracy: 0.8737
[04/06 00:18:12]: Epoch Test: 39, Current test accuracy: 0.8388, Best test accuracy in 37: 0.8435
[04/06 00:18:23]: epoch: 40, train_loss: 0.422185, train_accuracy: 0.8756
[04/06 00:18:24]: Epoch Test: 40, Current test accuracy: 0.8422, Best test accuracy in 37: 0.8435
[04/06 00:18:35]: epoch: 41, train_loss: 0.416136, train_accuracy: 0.8757
[04/06 00:18:36]: Epoch Test: 41, Current test accuracy: 0.8491, Best test accuracy in 41: 0.8491
[04/06 00:18:47]: epoch: 42, train_loss: 0.407707, train_accuracy: 0.8799
[04/06 00:18:48]: Epoch Test: 42, Current test accuracy: 0.8448, Best test accuracy in 41: 0.8491
[04/06 00:19:00]: epoch: 43, train_loss: 0.398852, train_accuracy: 0.8822
[04/06 00:19:00]: Epoch Test: 43, Current test accuracy: 0.8234, Best test accuracy in 41: 0.8491
[04/06 00:19:12]: epoch: 44, train_loss: 0.397354, train_accuracy: 0.8821
[04/06 00:19:13]: Epoch Test: 44, Current test accuracy: 0.8396, Best test accuracy in 41: 0.8491
[04/06 00:19:24]: epoch: 45, train_loss: 0.390314, train_accuracy: 0.8849
[04/06 00:19:25]: Epoch Test: 45, Current test accuracy: 0.8561, Best test accuracy in 45: 0.8561
[04/06 00:19:36]: epoch: 46, train_loss: 0.380644, train_accuracy: 0.8869
[04/06 00:19:37]: Epoch Test: 46, Current test accuracy: 0.8398, Best test accuracy in 45: 0.8561
[04/06 00:19:48]: epoch: 47, train_loss: 0.387131, train_accuracy: 0.8853
[04/06 00:19:49]: Epoch Test: 47, Current test accuracy: 0.8482, Best test accuracy in 45: 0.8561
[04/06 00:20:01]: epoch: 48, train_loss: 0.372231, train_accuracy: 0.8899
[04/06 00:20:01]: Epoch Test: 48, Current test accuracy: 0.8568, Best test accuracy in 48: 0.8568
[04/06 00:20:13]: epoch: 49, train_loss: 0.371091, train_accuracy: 0.8901
[04/06 00:20:14]: Epoch Test: 49, Current test accuracy: 0.8567, Best test accuracy in 48: 0.8568
[04/06 00:20:25]: epoch: 50, train_loss: 0.357065, train_accuracy: 0.8922
