[04/05 16:03:42]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04051600', seed=17, weight_decay=0.0001)
[04/05 16:03:56]: epoch: 1, train_loss: 3.366147, train_accuracy: 0.2089
[04/05 16:03:57]: Epoch Test: 1, Current test accuracy: 0.2731, Best test accuracy in 1: 0.2731
[04/05 16:04:09]: epoch: 2, train_loss: 2.921613, train_accuracy: 0.3149
[04/05 16:04:09]: Epoch Test: 2, Current test accuracy: 0.2807, Best test accuracy in 2: 0.2807
[04/05 16:04:21]: epoch: 3, train_loss: 2.652365, train_accuracy: 0.3919
[04/05 16:04:22]: Epoch Test: 3, Current test accuracy: 0.4225, Best test accuracy in 3: 0.4225
[04/05 16:04:34]: epoch: 4, train_loss: 2.317375, train_accuracy: 0.4795
[04/05 16:04:35]: Epoch Test: 4, Current test accuracy: 0.4321, Best test accuracy in 4: 0.4321
[04/05 16:04:47]: epoch: 5, train_loss: 1.988675, train_accuracy: 0.5552
[04/05 16:04:47]: Epoch Test: 5, Current test accuracy: 0.5312, Best test accuracy in 5: 0.5312
[04/05 16:04:59]: epoch: 6, train_loss: 1.787981, train_accuracy: 0.6081
[04/05 16:05:00]: Epoch Test: 6, Current test accuracy: 0.5958, Best test accuracy in 6: 0.5958
[04/05 16:05:12]: epoch: 7, train_loss: 1.627092, train_accuracy: 0.6487
[04/05 16:05:13]: Epoch Test: 7, Current test accuracy: 0.6068, Best test accuracy in 7: 0.6068
[04/05 16:05:24]: epoch: 8, train_loss: 1.472221, train_accuracy: 0.6836
[04/05 16:05:25]: Epoch Test: 8, Current test accuracy: 0.6444, Best test accuracy in 8: 0.6444
[04/05 16:05:37]: epoch: 9, train_loss: 1.390479, train_accuracy: 0.7004
[04/05 16:05:38]: Epoch Test: 9, Current test accuracy: 0.5809, Best test accuracy in 8: 0.6444
[04/05 16:05:49]: epoch: 10, train_loss: 1.303598, train_accuracy: 0.7226
[04/05 16:05:50]: Epoch Test: 10, Current test accuracy: 0.7122, Best test accuracy in 10: 0.7122
[04/05 16:06:02]: epoch: 11, train_loss: 1.214077, train_accuracy: 0.7427
[04/05 16:06:03]: Epoch Test: 11, Current test accuracy: 0.6607, Best test accuracy in 10: 0.7122
[04/05 16:06:15]: epoch: 12, train_loss: 1.157169, train_accuracy: 0.7581
[04/05 16:06:15]: Epoch Test: 12, Current test accuracy: 0.6475, Best test accuracy in 10: 0.7122
[04/05 16:06:27]: epoch: 13, train_loss: 1.099440, train_accuracy: 0.7711
[04/05 16:06:28]: Epoch Test: 13, Current test accuracy: 0.7309, Best test accuracy in 13: 0.7309
[04/05 16:06:40]: epoch: 14, train_loss: 1.044975, train_accuracy: 0.7827
[04/05 16:06:41]: Epoch Test: 14, Current test accuracy: 0.7622, Best test accuracy in 14: 0.7622
[04/05 16:06:52]: epoch: 15, train_loss: 1.001584, train_accuracy: 0.7902
[04/05 16:06:53]: Epoch Test: 15, Current test accuracy: 0.7633, Best test accuracy in 15: 0.7633
[04/05 16:07:05]: epoch: 16, train_loss: 0.971493, train_accuracy: 0.7953
[04/05 16:07:06]: Epoch Test: 16, Current test accuracy: 0.7629, Best test accuracy in 15: 0.7633
[04/05 16:07:17]: epoch: 17, train_loss: 0.945393, train_accuracy: 0.8028
[04/05 16:07:18]: Epoch Test: 17, Current test accuracy: 0.7904, Best test accuracy in 17: 0.7904
[04/05 16:07:30]: epoch: 18, train_loss: 0.914106, train_accuracy: 0.8097
[04/05 16:07:31]: Epoch Test: 18, Current test accuracy: 0.7740, Best test accuracy in 17: 0.7904
[04/05 16:07:43]: epoch: 19, train_loss: 0.879557, train_accuracy: 0.8170
[04/05 16:07:43]: Epoch Test: 19, Current test accuracy: 0.7720, Best test accuracy in 17: 0.7904
[04/05 16:07:55]: epoch: 20, train_loss: 0.861219, train_accuracy: 0.8217
[04/05 16:07:56]: Epoch Test: 20, Current test accuracy: 0.7716, Best test accuracy in 17: 0.7904
[04/05 16:08:08]: epoch: 21, train_loss: 0.838664, train_accuracy: 0.8280
[04/05 16:08:09]: Epoch Test: 21, Current test accuracy: 0.7970, Best test accuracy in 21: 0.7970
[04/05 16:08:21]: epoch: 22, train_loss: 0.808034, train_accuracy: 0.8328
[04/05 16:08:22]: Epoch Test: 22, Current test accuracy: 0.7937, Best test accuracy in 21: 0.7970
[04/05 16:08:34]: epoch: 23, train_loss: 0.780980, train_accuracy: 0.8382
[04/05 16:08:34]: Epoch Test: 23, Current test accuracy: 0.8232, Best test accuracy in 23: 0.8232
[04/05 16:08:47]: epoch: 24, train_loss: 0.774706, train_accuracy: 0.8395
[04/05 16:08:47]: Epoch Test: 24, Current test accuracy: 0.7808, Best test accuracy in 23: 0.8232
[04/05 16:08:59]: epoch: 25, train_loss: 0.751695, train_accuracy: 0.8430
[04/05 16:09:00]: Epoch Test: 25, Current test accuracy: 0.7804, Best test accuracy in 23: 0.8232
[04/05 16:09:12]: epoch: 26, train_loss: 0.735124, train_accuracy: 0.8480
[04/05 16:09:13]: Epoch Test: 26, Current test accuracy: 0.8228, Best test accuracy in 23: 0.8232
[04/05 16:09:25]: epoch: 27, train_loss: 0.715639, train_accuracy: 0.8521
[04/05 16:09:26]: Epoch Test: 27, Current test accuracy: 0.8220, Best test accuracy in 23: 0.8232
[04/05 16:09:38]: epoch: 28, train_loss: 0.698523, train_accuracy: 0.8555
[04/05 16:09:38]: Epoch Test: 28, Current test accuracy: 0.8287, Best test accuracy in 28: 0.8287
[04/05 16:09:50]: epoch: 29, train_loss: 0.680390, train_accuracy: 0.8601
[04/05 16:09:51]: Epoch Test: 29, Current test accuracy: 0.8039, Best test accuracy in 28: 0.8287
[04/05 16:10:03]: epoch: 30, train_loss: 0.657466, train_accuracy: 0.8624
[04/05 16:10:03]: Epoch Test: 30, Current test accuracy: 0.8071, Best test accuracy in 28: 0.8287
[04/05 16:10:15]: epoch: 31, train_loss: 0.652560, train_accuracy: 0.8631
[04/05 16:10:16]: Epoch Test: 31, Current test accuracy: 0.8296, Best test accuracy in 31: 0.8296
[04/05 16:10:28]: epoch: 32, train_loss: 0.639711, train_accuracy: 0.8684
[04/05 16:10:29]: Epoch Test: 32, Current test accuracy: 0.8439, Best test accuracy in 32: 0.8439
[04/05 16:10:40]: epoch: 33, train_loss: 0.636487, train_accuracy: 0.8687
[04/05 16:10:41]: Epoch Test: 33, Current test accuracy: 0.8351, Best test accuracy in 32: 0.8439
[04/05 16:10:53]: epoch: 34, train_loss: 0.603239, train_accuracy: 0.8759
[04/05 16:10:54]: Epoch Test: 34, Current test accuracy: 0.8228, Best test accuracy in 32: 0.8439
[04/05 16:11:06]: epoch: 35, train_loss: 0.601913, train_accuracy: 0.8765
[04/05 16:11:07]: Epoch Test: 35, Current test accuracy: 0.8088, Best test accuracy in 32: 0.8439
[04/05 16:11:18]: epoch: 36, train_loss: 0.590854, train_accuracy: 0.8790
[04/05 16:11:19]: Epoch Test: 36, Current test accuracy: 0.8351, Best test accuracy in 32: 0.8439
[04/05 16:11:31]: epoch: 37, train_loss: 0.577698, train_accuracy: 0.8821
[04/05 16:11:32]: Epoch Test: 37, Current test accuracy: 0.8476, Best test accuracy in 37: 0.8476
[04/05 16:11:44]: epoch: 38, train_loss: 0.564702, train_accuracy: 0.8841
[04/05 16:11:45]: Epoch Test: 38, Current test accuracy: 0.8472, Best test accuracy in 37: 0.8476
[04/05 16:11:56]: epoch: 39, train_loss: 0.561415, train_accuracy: 0.8851
[04/05 16:11:57]: Epoch Test: 39, Current test accuracy: 0.8385, Best test accuracy in 37: 0.8476
[04/05 16:12:09]: epoch: 40, train_loss: 0.542835, train_accuracy: 0.8869
[04/05 16:12:10]: Epoch Test: 40, Current test accuracy: 0.8444, Best test accuracy in 37: 0.8476
[04/05 16:12:22]: epoch: 41, train_loss: 0.533173, train_accuracy: 0.8894
[04/05 16:12:22]: Epoch Test: 41, Current test accuracy: 0.8415, Best test accuracy in 37: 0.8476
[04/05 16:12:34]: epoch: 42, train_loss: 0.522193, train_accuracy: 0.8937
[04/05 16:12:35]: Epoch Test: 42, Current test accuracy: 0.8395, Best test accuracy in 37: 0.8476
[04/05 16:12:47]: epoch: 43, train_loss: 0.509881, train_accuracy: 0.8952
[04/05 16:12:48]: Epoch Test: 43, Current test accuracy: 0.8510, Best test accuracy in 43: 0.8510
[04/05 16:13:00]: epoch: 44, train_loss: 0.511007, train_accuracy: 0.8952
[04/05 16:13:01]: Epoch Test: 44, Current test accuracy: 0.8620, Best test accuracy in 44: 0.8620
[04/05 16:13:12]: epoch: 45, train_loss: 0.494825, train_accuracy: 0.8990
[04/05 16:13:13]: Epoch Test: 45, Current test accuracy: 0.8576, Best test accuracy in 44: 0.8620
[04/05 16:13:25]: epoch: 46, train_loss: 0.495148, train_accuracy: 0.8983
[04/05 16:13:26]: Epoch Test: 46, Current test accuracy: 0.8542, Best test accuracy in 44: 0.8620
[04/05 16:13:37]: epoch: 47, train_loss: 0.483478, train_accuracy: 0.9006
[04/05 16:13:38]: Epoch Test: 47, Current test accuracy: 0.8540, Best test accuracy in 44: 0.8620
[04/05 16:13:50]: epoch: 48, train_loss: 0.473224, train_accuracy: 0.9040
[04/05 16:13:51]: Epoch Test: 48, Current test accuracy: 0.8420, Best test accuracy in 44: 0.8620
[04/05 16:14:03]: epoch: 49, train_loss: 0.459474, train_accuracy: 0.9060
[04/05 16:14:04]: Epoch Test: 49, Current test accuracy: 0.8564, Best test accuracy in 44: 0.8620
[04/05 16:14:15]: epoch: 50, train_loss: 0.446735, train_accuracy: 0.9071
[04/05 16:14:16]: Epoch Test: 50, Current test accuracy: 0.8624, Best test accuracy in 50: 0.8624
[04/05 16:14:28]: epoch: 51, train_loss: 0.451721, train_accuracy: 0.9071
[04/05 16:14:29]: Epoch Test: 51, Current test accuracy: 0.8574, Best test accuracy in 50: 0.8624
[04/05 16:14:41]: epoch: 52, train_loss: 0.441588, train_accuracy: 0.9091
[04/05 16:14:41]: Epoch Test: 52, Current test accuracy: 0.8632, Best test accuracy in 52: 0.8632
[04/05 16:14:54]: epoch: 53, train_loss: 0.436951, train_accuracy: 0.9108
[04/05 16:14:54]: Epoch Test: 53, Current test accuracy: 0.8624, Best test accuracy in 52: 0.8632
[04/05 16:15:07]: epoch: 54, train_loss: 0.426164, train_accuracy: 0.9123
[04/05 16:15:07]: Epoch Test: 54, Current test accuracy: 0.8560, Best test accuracy in 52: 0.8632
[04/05 16:15:19]: epoch: 55, train_loss: 0.429287, train_accuracy: 0.9115
[04/05 16:15:20]: Epoch Test: 55, Current test accuracy: 0.8658, Best test accuracy in 55: 0.8658
[04/05 16:15:32]: epoch: 56, train_loss: 0.409784, train_accuracy: 0.9163
[04/05 16:15:33]: Epoch Test: 56, Current test accuracy: 0.8662, Best test accuracy in 56: 0.8662
[04/05 16:15:45]: epoch: 57, train_loss: 0.412617, train_accuracy: 0.9146
[04/05 16:15:46]: Epoch Test: 57, Current test accuracy: 0.8671, Best test accuracy in 57: 0.8671
[04/05 16:15:58]: epoch: 58, train_loss: 0.405930, train_accuracy: 0.9163
[04/05 16:15:58]: Epoch Test: 58, Current test accuracy: 0.8514, Best test accuracy in 57: 0.8671
[04/05 16:16:10]: epoch: 59, train_loss: 0.404636, train_accuracy: 0.9160
[04/05 16:16:11]: Epoch Test: 59, Current test accuracy: 0.8723, Best test accuracy in 59: 0.8723
[04/05 16:16:23]: epoch: 60, train_loss: 0.398056, train_accuracy: 0.9177
[04/05 16:16:24]: Epoch Test: 60, Current test accuracy: 0.8775, Best test accuracy in 60: 0.8775
[04/05 16:16:36]: epoch: 61, train_loss: 0.386768, train_accuracy: 0.9195
[04/05 16:16:37]: Epoch Test: 61, Current test accuracy: 0.8684, Best test accuracy in 60: 0.8775
[04/05 16:16:48]: epoch: 62, train_loss: 0.374018, train_accuracy: 0.9234
[04/05 16:16:49]: Epoch Test: 62, Current test accuracy: 0.8714, Best test accuracy in 60: 0.8775
[04/05 16:17:01]: epoch: 63, train_loss: 0.375194, train_accuracy: 0.9228
[04/05 16:17:02]: Epoch Test: 63, Current test accuracy: 0.8782, Best test accuracy in 63: 0.8782
[04/05 16:17:15]: epoch: 64, train_loss: 0.372383, train_accuracy: 0.9234
